Player,Season,Runs,Balls,Batting_Avg,Strike_Rate,Economy,Wickets_Per_Match,Matches,High_Performer,Next_Season_Runs,High_Performer_Next_Season,Runs_Per_Match,Balls_Per_Match,Batting_Impact
A Badoni,2022,161,139,20.12,115.83,5.5,0.18,11,0,238.0,0,14.636363636363637,12.636363636363637,23.304996000000003
A Badoni,2023,238,186,23.8,127.96,0.0,0.0,12,0,235.0,0,19.833333333333332,15.5,30.45448
A Badoni,2024,235,180,29.38,130.56,12.5,0.0,12,0,329.0,1,19.583333333333332,15.0,38.358528
A Kamboj,2024,2,2,2.0,100.0,9.35,0.67,3,0,14.0,0,0.6666666666666666,0.6666666666666666,2.0
A Manohar,2022,108,79,18.0,136.71,0.0,0.0,7,0,114.0,0,15.428571428571429,11.285714285714286,24.6078
A Manohar,2023,114,86,19.0,132.56,0.0,0.0,6,0,9.0,0,19.0,14.333333333333334,25.1864
A Manohar,2024,9,16,4.5,56.25,0.0,0.0,2,0,61.0,0,4.5,8.0,2.53125
A Mishra,2016,4,14,2.0,28.57,7.01,0.93,14,0,49.0,0,0.2857142857142857,1.0,0.5714
A Mishra,2017,49,56,49.0,87.5,8.58,0.71,14,0,1.0,0,3.5,4.0,42.875
A Mishra,2018,1,2,1.0,50.0,6.88,1.2,10,0,21.0,0,0.1,0.2,0.5
A Mishra,2019,21,26,10.5,80.77,6.59,1.0,11,0,0.0,0,1.9090909090909092,2.3636363636363638,8.480849999999998
A Mishra,2020,0,0,0.0,0.0,6.98,1.0,3,0,0.0,0,0.0,0.0,0.0
A Mishra,2021,0,0,0.0,0.0,7.79,1.5,4,0,19.0,0,0.0,0.0,0.0
A Mishra,2023,19,30,19.0,63.33,7.72,1.0,7,0,0.0,0,2.7142857142857144,4.285714285714286,12.0327
A Nehra,2016,1,1,1.0,100.0,7.16,1.12,8,0,0.0,0,0.125,0.125,1.0
A Nortje,2020,7,6,7.0,116.67,8.01,1.38,16,0,0.0,0,0.4375,0.375,8.1669
A Nortje,2021,0,0,0.0,0.0,5.58,1.5,8,0,1.0,0,0.0,0.0,0.0
A Nortje,2022,1,7,1.0,14.29,8.73,1.5,6,0,37.0,0,0.16666666666666666,1.1666666666666667,0.1429
A Nortje,2023,37,29,12.33,127.59,8.44,1.0,10,0,4.0,0,3.7,2.9,15.731847
A Nortje,2024,4,9,2.0,44.44,12.26,1.17,6,0,0.0,0,0.6666666666666666,1.5,0.8887999999999999
A Raghuvanshi,2024,163,109,23.29,149.54,0.0,0.0,7,0,300.0,1,23.285714285714285,15.571428571428571,34.827866
A Zampa,2016,0,1,0.0,0.0,6.41,2.4,5,0,5.0,0,0.0,0.2,0.0
A Zampa,2017,5,7,5.0,71.43,7.87,1.17,6,0,0.0,0,0.8333333333333334,1.1666666666666667,3.5715000000000003
A Zampa,2020,0,0,0.0,0.0,8.15,0.67,3,0,10.0,0,0.0,0.0,0.0
A Zampa,2023,10,17,3.33,58.82,8.39,1.33,6,0,0.0,0,1.6666666666666667,2.8333333333333335,1.958706
AB Dinda,2016,0,0,0.0,0.0,6.94,1.22,9,0,7.0,0,0.0,0.0,0.0
