short_name,full_name
SC Ganguly,Sourav Ganguly
BB McCullum,Brendon McCullum
RT Ponting,Ricky Ponting
DJ Hussey,David Hussey
LR Shukla,Laxmi Ratan Shukla
WP Saha,Wriddhiman Saha
AB Agarkar,Ajit Agarkar
AB Dinda,Ashok Dinda
M Kartik,Murali Kartik
I Sharma,Ishant Sharma
R Dravid,Rahul Dravid
V Kohli,Virat Kohli
JH Kallis,Jacques Kallis
CL White,Cameron White
P Kumar,Praveen Kumar
Z Khan,Zaheer Khan
PA Patel,Parthiv Patel
MEK Hussey,Michael Hussey
MS Dhoni,MS Dhoni
SK Raina,Suresh Raina
JDP Oram,Jacob Oram
S Badrinath,Subramaniam Badrinath
Joginder Sharma,Joginder Sharma
MS Gony,Manpreet Gony
M Muralitharan,Muttiah Muralitharan
KC Sangakkara,Kumar Sangakkara
Yuvraj Singh,Yuvraj Singh
IK Pathan,Irfan Pathan
B Lee,Brett Lee
PP Chawla,Piyush Chawla
S Sreesanth,Shanthakumaran Sreesanth
YK Pathan,Yusuf Pathan
SR Watson,Shane Watson
M Kaif,Mohammad Kaif
RA Jadeja,Ravindra Jadeja
M Rawat,Mahesh Rawat
D Salunkhe,Dinesh Salunkhe
SK Trivedi,Siddharth Trivedi
MM Patel,Munaf Patel
G Gambhir,Gautam Gambhir
V Sehwag,Virender Sehwag
S Dhawan,Shikhar Dhawan
MK Tiwary,Manoj Tiwary
R Bhatia,Rajat Bhatia
M Manhas,Mithun Manhas
DL Vettori,Daniel Vettori
RV Uthappa,Robin Uthappa
AM Nayar,Abhishek Nayar
Harbhajan Singh,Harbhajan Singh
A Nehra,Ashish Nehra
DS Kulkarni,Dhawal Kulkarni
S Sohal,Sunny Sohal
Pankaj Singh,Pankaj Singh
DJ Bravo,Dwayne Bravo
GC Smith,Graeme Smith
SS Tiwary,Saurabh Tiwary
AM Rahane,Ajinkya Rahane
SD Chitnis,Siddharth Chitnis
TM Srivastava,Tanmay Srivastava
B Chipli,Bharat Chipli
DW Steyn,Dale Steyn
DB Das,Debabrata Das
MK Pandey,Manish Pandey
SE Marsh,Shaun Marsh
BJ Hodge,Brad Hodge
AB de Villiers,AB de Villiers
PJ Sangwan,Pradeep Sangwan
SP Goswami,Shreevats Goswami
YV Takawale,Yogesh Takawale
S Anirudha,Srikkanth Anirudha
L Balaji,Lakshmipathy Balaji
A Chopra,Aakash Chopra
SR Tendulkar,Sachin Tendulkar
DR Smith,Dwayne Smith
TM Dilshan,Tillakaratne Dilshan
A Mishra,Amit Mishra
LA Pomersbach,Luke Pomersbach
Iqbal Abdulla,Iqbal Abdulla
RR Powar,Ramesh Powar
A Mukund,Abhinav Mukund
R Ashwin,Ravichandran Ashwin
JP Duminy,JP Duminy
Kamran Khan,Kamran Khan
DP Nannes,Dirk Nannes
AM Salvi,Aavishkar Salvi
RS Bopara,Ravi Bopara
VS Malik,Vikramjeet Malik
CH Gayle,Chris Gayle
MC Henriques,Moises Henriques
Anureet Singh,Anureet Singh
AS Raut,Abhishek Raut
KP Appanna,KP Appanna
S Tyagi,Sudeep Tyagi
SB Jakati,Shadab Jakati
NV Ojha,Naman Ojha
M Vijay,Murali Vijay
DA Warner,David Warner
A Singh,Amit Singh
M Morkel,Morne Morkel
GJ Bailey,George Bailey
A Mithun,Abhimanyu Mithun
AD Mathews,Angelo Mathews
J Botha,Johan Botha
AB McDonald,Andrew McDonald
Y Nagar,Yogesh Nagar
CK Langeveldt,Charl Langeveldt
CA Pujara,Cheteshwar Pujara
OA Shah,Owais Shah
AP Tare,Aditya Tare
AT Rayudu,Ambati Rayudu
R Sathish,Rajagopal Sathish
R McLaren,Ryan McLaren
AG Murtaza,Ali Murtaza
AA Jhunjhunwala,Abhishek Jhunjhunwala
P Dogra,Paras Dogra
SW Tait,Shaun Tait
MS Bisla,Manvinder Bisla
EJG Morgan,Eoin Morgan
RE van der Merwe,Roelof van der Merwe
S Ladda,Sarabjit Ladda
Bipul Sharma,Bipul Sharma
KA Pollard,Kieron Pollard
S Narwal,Sumit Narwal
UT Yadav,Umesh Yadav
SJ Srivastava,Shalabh Srivastava
FY Fazal,Faiz Fazal
J Theron,Juan Theron
KM Jadhav,Kedar Jadhav
PD Collingwood,Paul Collingwood
KP Pietersen,Kevin Pietersen
DE Bollinger,Doug Bollinger
SB Wagh,Shrikant Wagh
JD Unadkat,Jaydev Unadkat
AP Dole,Aditya Dole
AG Paunikar,Amit Paunikar
AJ Finch,Aaron Finch
STR Binny,Stuart Binny
SB Styris,Scott Styris
TG Southee,Tim Southee
S Randiv,Suraj Randiv
AL Menaria,Ashok Menaria
MA Agarwal,Mayank Agarwal
AUK Pathan,Asad Pathan
UBT Chand,Unmukt Chand
DJ Jacobs,Davy Jacobs
RG Sharma,Rohit Sharma
JEC Franklin,James Franklin
AC Gilchrist,Adam Gilchrist
PC Valthaty,Paul Valthaty
Sunny Singh,Sunny Singh
NJ Rimmington,Nathan Rimmington
BA Bhatt,Bhargav Bhatt
RN ten Doeschate,Ryan ten Doeschate
S Nadeem,Shahbaz Nadeem
RJ Harris,Ryan Harris
R Ninan,Ryan Ninan
S Aravind,Sreenath Aravind
Shakib Al Hasan,Shakib Al Hasan
MS Wade,Matthew Wade
DH Yagnik,Dishant Yagnik
BJ Haddin,Brad Haddin
VR Aaron,Varun Aaron
TL Suman,Tirumalasetti Suman
AC Blizzard,Aiden Blizzard
CA Ingram,Colin Ingram
Mandeep Singh,Mandeep Singh
AA Kazi,Abrar Kazi
AA Chavan,Ankeet Chavan
F du Plessis,Faf du Plessis
PP Ojha,Pragyan Ojha
GJ Maxwell,Glenn Maxwell
M de Lange,Marchant de Lange
SA Yadav,Surya Kumar Yadav
JP Faulkner,James Faulkner
Harmeet Singh,Harmeet Singh Bansal
KK Cooper,Kevon Cooper
DAJ Bracewell,Doug Bracewell
HV Patel,Harshal Patel
SP Narine,Sunil Narine
RR Bhatkal,Raju Bhatkal
P Awana,Parvinder Awana
CJ McKay,Clint McKay
RP Singh,RP Singh
AD Russell,Andre Russell
N Saini,Nitin Saini
DA Miller,David Miller
Azhar Mahmood,Azhar Mahmood
P Negi,Pawan Negi
A Chandila,Ajit Chandila
R Shukla,Rahul Shukla
BW Hilfenhaus,Ben Hilfenhaus
Gurkeerat Singh,Gurkeerat Mann Singh
HH Gibbs,Herschelle Gibbs
Sunny Gupta,Sunny Gupta
MC Juneja,Manpreet Juneja
JJ Bumrah,Jasprit Bumrah
MG Johnson,Mitchell Johnson
DT Christian,Dan Christian
KK Nair,Karun Nair
A Ashish Reddy,Ashish Reddy
DB Ravi Teja,Dwaraka Ravi Teja
S Badree,Samuel Badree
B Laughlin,Ben Laughlin
AS Rajpoot,Ankit Rajpoot
M Vohra,Manan Vohra
Ankit Sharma,Ankit Sharma
Mohammed Shami,Mohammad Shami
R Dhawan,Rishi Dhawan
CH Morris,Chris Morris
KL Rahul,KL Rahul
S Kaul,Siddharth Kaul
Anand Rajan,Anand Rajan
MM Sharma,Mohit Sharma
R Rampaul,Ravi Rampaul
SMSM Senanayake,Sachithra Senanayake
KV Sharma,Karn Sharma
SV Samson,Sanju Samson
Q de Kock,Quinton de Kock
BB Samantray,Biplap Samantray
JO Holder,Jason Holder
CM Gautam,Chidhambaram Gautam
Sandeep Sharma,Sandeep Sharma
DJG Sammy,Darren Sammy
Sachin Baby,Sachin Baby
P Suyal,Pawan Suyal
PV Tambe,Pravin Tambe
MG Neser,Michael Neser
NM Coulter-Nile,Nathan Coulter-Nile
CJ Anderson,Corey Anderson
JDS Neesham,Jimmy Neesham
WD Parnell,Wayne Parnell
R Sharma,Rahul Sharma
NJ Maddinson,Nic Maddinson
S Rana,Sachin Rana
MA Starc,Mitchell Starc
YS Chahal,Yuzvendra Chahal
AR Patel,Axar Patel
KW Richardson,Kane Richardson
B Kumar,Bhuvneshwar Kumar
SPD Smith,Steve Smith
IC Pandey,Ishwar Pandey
CA Lynn,Chris Lynn
BR Dunk,Ben Dunk
RR Rossouw,Rilee Rossouw
R Tewatia,Rahul Tewatia
Shivam Sharma,Sandeep Sharma
Imran Tahir,Imran Tahir
LMP Simmons,Lendl Simmons
VH Zol,Vijay Zol
V Shankar,Vijay Shankar
BCJ Cutting,Ben Cutting
K Santokie,Krishmar Santokie
S Gopal,Shreyas Gopal
BE Hendricks,Beuran Hendricks
Parvez Rasool,Parveez Rasool
PJ Cummins,Pat Cummins
JW Hastings,John Hastings
Karanveer Singh,Karanveer Singh
SS Iyer,Shreyas Iyer
DJ Hooda,Deepak Hooda
KS Williamson,Kane Williamson
TA Boult,Trent Boult
KC Cariappa,KC Cariappa
SA Abbott,Sean Abbott
J Suchith,Jagadeesha Suchith
RG More,Ronit More
HH Pandya,Hardik Pandya
MJ McClenaghan,Mitchell McClenaghan
D Wiese,David Wiese
SN Khan,Sarfaraz Khan
SN Thakur,Shardul Thakur
GS Sandhu,Gurinder Sandhu
J Yadav,Jayant Yadav
BB Sran,Barinder Sran
JC Buttler,Jos Buttler
CR Brathwaite,Carlos Brathwaite
C Munro,Colin Munro
MP Stoinis,Marcus Stoinis
P Sahu,Pradeep Sahu
AF Milne,Adam Milne
Mustafizur Rahman,Mustafizur Rahman
Kuldeep Yadav,Kuldeep Yadav
KH Pandya,Krunal Pandya
KJ Abbott,Kyle Abbott
MJ Guptill,Martin Guptill
TM Head,Travis Head
T Shamsi,Tabraiz Shamsi
NS Naik,Nikhil Naik
RR Pant,Rishabh Pant
SW Billings,Sam Billings
Swapnil Singh,Swapnil Singh
CJ Jordan,Chris Jordan
HM Amla,Hashim Amla
F Behardien,Farhaan Behardien
N Rana,Nitish Rana
TS Mills,Tymal Mills
A Choudhary,Aniket Choudhary
Rashid Khan,Rashid Khan
CR Woakes,Chris Woakes
T Natarajan,T. Natarajan
Vishnu Vinod,Vishnu Vinod
B Stanlake,Billy Stanlake
C de Grandhomme,Colin de Grandhomme
Mohammad Nabi,Mohammad Nabi
Mohammed Siraj,Mohammed Siraj
K Rabada,Kagiso Rabada
